NumeroSiret	RaisonSocial	NatureActivité	CodeActivité	AdresseRue	AdresseCodePostale	AdresseVille	AdresseCodeInsee	AdresseGeoLat	AdresseGeoLong	ProjetCodeRegion	ProjetRegion	ProjetCodedepartement	ProjetDepartement	ProjetArrondissement	ProjetCodeArrondissement	ProjetCodeCanton	ProjetCanton	ProjetCodeCommune	ProjetCommune	ProjetGeoLong	ProjetGeoLat	Dossier	PO	Projet	EtatStatus	EtatDossierPaye	EtatDossierSolde	DateDepotDossier	MoisDepotDossier	AnneeDepotDossier	DateLimiteDebutReal	DateLimiteFinReal	MoisFinReal	AnneeFinReal	DatePremierComite	MoisPremierComite	AnneePremierComite	MontantGlobal	DepenseEligibleProgramme	DepenseTotalProgrammeUE	DepenseTotalProgrammeEtat	DepenseTotalProgrammeRegion	DepenseTotalProgrammeDepartement	DepenseTotalProgrammeAutrePublic	DepenseTotalProgrammeCperEtat	DepenseTotalProgrammeCperRegion	PaiementTotalUE	PaiementTotalEtat	PaiementTotalRegion	PaiementTotalDepartement	PaiementTotalAutrePublic	PaiementTotalPrive	PaiementTotal	PaiementTotalValideAC	FIN
S39796379400037	ABI BOIS (Association Bretonne Interprofessionnelle Bois)	PERSONNE MORALE DE DROIT PRIVE	Autres organisations fonctionnant par adhésion volontaire	4 bis allée du Bâtiment	35000	RENNES	35238	0	0	53	BRETAGNE	0	0	0	0	0	0	0	0	0	0	35909	Fonds Européen de Développement Régional  	1225C0023-Programme de communication bois de chauffage 2012-2013	Programmé	O	O	19/01/2012	01	2012	01/01/2012	31/03/2014	03	2014	19/09/2013	09	2013	49870.8	49870.8	24935.4	0	0	0	12467.7	0	0	24935.4	0	12467.7	0	12467.7	0	529.38	50400.18	0
S39796379400037	ABI BOIS (Association Bretonne Interprofessionnelle Bois)	PERSONNE MORALE DE DROIT PRIVE	Autres organisations fonctionnant par adhésion volontaire	4 bis allée du Bâtiment	35000	RENNES	35238	0	0	53	BRETAGNE	0	0	0	0	0	0	0	0	0	0	35081	Fonds Européen de Développement Régional  	Action bois locaux : produits issus de la ressource locale	Programmé	N	N	08/08/2012	08	2012	01/01/2013	30/06/2015	06	2015	21/02/2013	02	2013	245700	245700	78624	0	0	0	0	0	0	0	0	22113	0	0	0	53020.02	0	0
S39796379400037	ABI BOIS (Association Bretonne Interprofessionnelle Bois)	PERSONNE MORALE DE DROIT PRIVE	Autres organisations fonctionnant par adhésion volontaire	4 bis allée du Bâtiment	35000	RENNES	35238	0	0	53	BRETAGNE	0	0	0	0	0	0	0	0	0	0	30994	Fonds Européen de Développement Régional  	1025C0282 - Programme de communication Bois de Chauffage 2010-2011	Programmé	O	N	04/05/2010	05	2010	01/01/2010	31/12/2011	12	2011	13/12/2010	12	2010	88650	38521.31	19131.72	0	0	0	9694.79	0	0	19131.72	0	9694.79	0	9694.79	0	0	38521.31	0
S39796379400037	ABI BOIS (Association Bretonne Interprofessionnelle Bois)	PERSONNE MORALE DE DROIT PRIVE	Autres organisations fonctionnant par adhésion volontaire	4 bis allée du Bâtiment	35000	RENNES	35238	0	0	53	BRETAGNE	0	0	0	0	0	0	0	0	0	0	31144	Fonds Européen de Développement Régional  	1025C0554 - Démarche d'amélioration environnementale des entreprises de la filière bois bretonne	Programmé	O	O	02/07/2010	07	2010	01/01/2010	30/06/2012	06	2012	15/11/2010	11	2010	171000	54000	27000	16013.2	0	0	0	0	0	27000	16013.2	0	0	0	0	12512.93	55526.13	0
S39796379400037	ABI BOIS (Association Bretonne Interprofessionnelle Bois)	PERSONNE MORALE DE DROIT PRIVE	Autres organisations fonctionnant par adhésion volontaire	4 bis allée du Bâtiment	35000	RENNES	35238	0	0	53	BRETAGNE	0	0	0	0	0	0	0	0	0	0	31143	Fonds Européen de Développement Régional  	1025C0553 - Démarche d'actions Bois Construction 2010-2012	Programmé	O	O	02/07/2010	07	2010	01/01/2010	31/12/2012	12	2012	06/10/2010	10	2010	732037.5	405000	202500	0	0	0	121500	0	0	202500	0	0	0	121500	0	87338.59	411338.59	0
S39796379400037	ABI BOIS (Association Bretonne Interprofessionnelle Bois)	PERSONNE MORALE DE DROIT PRIVE	Autres organisations fonctionnant par adhésion volontaire	4 bis allée du Bâtiment	35000	RENNES	35238	0	0	53	BRETAGNE	35	ILLE-ET-VILAINE	3	RENNES	98	RENNES	35238	RENNES	0	0	31272	Fonds Européen de Développement Régional  	1025C0712 - Construction de la Maison de la Forêt et du Bois	Abandonné / Déprogrammé	N	N	01/01/1900	01	1900	01/01/1900	01/01/1900	01	1900	01/01/1900	01	1900	2499490.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S37718074000013	ARMEMENT BIGOUDEN SA	PERSONNE MORALE DE DROIT PRIVE	Pêche en mer	Quai d'Estienne d'Orves	29730	GUILVINEC	29072	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	49	GUILVINEC	29072	GUILVINEC	0	0	33494	Fonds Européen pour la Pêche 	Modernisation du BARA AN AOD - Installation d'une balise  homme à la mer  et mise en place d'une balance électronique	Abandonné / Déprogrammé	N	O	02/08/2011	08	2011	01/06/2012	01/01/1900	01	1900	26/04/2013	04	2013	143658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S37718074000013	ARMEMENT BIGOUDEN SA	PERSONNE MORALE DE DROIT PRIVE	Pêche en mer	Quai d'Estienne d'Orves	29730	GUILVINEC	29072	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	49	GUILVINEC	29072	GUILVINEC	0	0	33495	Fonds Européen pour la Pêche 	Modernisation du BARA AN TY - Installation d'une balise  homme à la mer  et mise en place d'une balance électronique	Programmé	O	O	02/08/2011	08	2011	01/06/2012	31/12/2013	12	2013	26/04/2013	04	2013	143658	5481	438.48	1343.52	273.6	136.8	0	0	273.6	438.48	1343.52	273.6	136.8	0	0	3288.6	5481	0
S37718074000013	ARMEMENT BIGOUDEN SA	PERSONNE MORALE DE DROIT PRIVE	Pêche en mer	Quai d'Estienne d'Orves	29730	GUILVINEC	29072	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	49	GUILVINEC	29072	GUILVINEC	0	0	33496	Fonds Européen pour la Pêche 	Modernisation du BARA LODENN - Installation d'une balise  homme à la mer  et mise en place d'une balance électronique	Programmé	O	O	02/08/2011	08	2011	30/06/2013	31/12/2013	12	2013	26/04/2013	04	2013	143658	5481	438.48	1343.52	273.6	136.8	0	0	273.6	438.48	1343.52	273.6	136.8	0	0	3288.6	5481	0
S37718074000013	ARMEMENT BIGOUDEN SA	PERSONNE MORALE DE DROIT PRIVE	Pêche en mer	Quai d'Estienne d'Orves	29730	GUILVINEC	29072	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	49	GUILVINEC	29072	GUILVINEC	0	0	33498	Fonds Européen pour la Pêche 	Modernisation du BARA BIHAN - Installation d'une balise  homme à la mer  et mise en place d'une balance électronique	Programmé	O	O	02/08/2011	08	2011	30/06/2013	31/12/2013	12	2013	26/04/2013	04	2013	143658	5481	438.48	1343.52	273.6	136.8	0	0	273.6	0	1343.52	273.6	136.8	0	0	3727.08	5481	0
S35355886900015	ARTHUR ET MARIE	PERSONNE MORALE DE DROIT PRIVE	Fabrication de jeux et jouets	4 Place de la Mairie	56240	LANVAUDAN	56104	0	0	53	BRETAGNE	56	MORBIHAN	1	LORIENT	24	PLOUAY	56104	LANVAUDAN	0	0	29714	Fonds Européen de Développement Régional  	0925C0360-Installation solaire photovoltaïque sur un bâtiment de la fabrique de jouets	Programmé	O	O	10/12/2011	12	2011	30/10/2011	30/07/2012	07	2012	11/09/2012	09	2012	159640.2	144509.36	12868.94	0	17074.4	48555	0	0	0	12868.94	0	6750	48555	0	0	83941.17	152115.11	0
S48471571900015	Association  LES BÂTISSEUSES 	PERSONNE MORALE DE DROIT PRIVE	Autres organisations fonctionnant par adhésion volontaire	2 rue du Pré de Bris	35000	RENNES	35238	0	0	53	BRETAGNE	35	ILLE-ET-VILAINE	3	RENNES	0	0	0	0	0	0	27696	Fonds Social Européen 	Atelier de sensibilisation et accompagnement vers l'emploi de femmes en parcours d'insertion	Programmé	O	O	04/02/2011	02	2011	01/01/2011	31/12/2011	12	2011	19/12/2011	12	2011	73989.9	45512.65	14052.74	28759.91	0	0	2700	0	0	14052.74	28759.91	0	0	2700	0	0	45512.65	0
S48471571900015	Association  LES BÂTISSEUSES 	PERSONNE MORALE DE DROIT PRIVE	Autres organisations fonctionnant par adhésion volontaire	2 rue du Pré de Bris	35000	RENNES	35238	0	0	53	BRETAGNE	35	ILLE-ET-VILAINE	3	RENNES	0	0	0	0	0	0	27684	Fonds Social Européen 	Ateliers de découverte, échange de savoir, formation et orientation	Programmé	O	O	30/10/2010	10	2010	01/07/2010	31/12/2010	12	2010	11/12/2010	12	2010	21420	12308.78	1058.78	6300	0	0	3600	0	0	1058.78	6300	0	0	3600	1350	0	12308.78	0
S48471571900015	Association  LES BÂTISSEUSES 	PERSONNE MORALE DE DROIT PRIVE	Autres organisations fonctionnant par adhésion volontaire	2 rue du Pré de Bris	35000	RENNES	35238	0	0	53	BRETAGNE	35	ILLE-ET-VILAINE	3	RENNES	98	RENNES	35238	RENNES	0	0	29585	Fonds Social Européen 	Accompagnement vers l'emploi de femmes en parcours d'insertion , secteur batiment	Abandonné / Déprogrammé	N	N	09/06/2012	06	2012	01/01/2012	31/12/2012	12	2012	01/01/1900	01	1900	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S34815562300013	Association de Gestion & Comptabilité des Côtes d'Armor (CER France)	PERSONNE MORALE DE DROIT PRIVE	Activités comptables	Avenue du Chalutier  Sans Pitié  - BP 530*-RC-*	22190	PLERIN	22187	0	0	53	BRETAGNE	22	0	0	0	0	0	0	0	0	0	37085	Plan de Lutte contre les Algues Vertes	la fresnaye - 2014 - diagnostics	Programmé	N	N	01/01/2014	01	2014	01/01/2014	31/12/2014	12	2014	31/12/2014	12	2014	0	66622.5	0	33311.25	0	0	33311.25	0	0	0	13324.5	0	0	9993.38	0	-23317.88	0	0
S34815562300013	Association de Gestion & Comptabilité des Côtes d'Armor (CER France)	PERSONNE MORALE DE DROIT PRIVE	Activités comptables	Avenue du Chalutier  Sans Pitié  - BP 530*-RC-*	22190	PLERIN	22187	0	0	53	BRETAGNE	22	0	0	0	0	0	0	0	0	0	38656	Plan de Lutte contre les Algues Vertes	Saint-Brieuc - 2014 - Diagnostics individuels	Programmé	N	N	01/01/2014	01	2014	01/01/2014	31/12/2014	12	2014	31/12/2014	12	2014	0	6075	0	0	0	0	0	0	0	0	0	3037.5	0	0	0	-3037.5	0	0
S34815562300013	Association de Gestion & Comptabilité des Côtes d'Armor (CER France)	PERSONNE MORALE DE DROIT PRIVE	Activités comptables	Avenue du Chalutier  Sans Pitié  - BP 530*-RC-*	22190	PLERIN	22187	0	0	53	BRETAGNE	22	0	0	0	0	0	0	0	0	0	36846	Plan de Lutte contre les Algues Vertes	saint brieuc - 2013 - accompagnement individuel	Programmé	N	N	01/01/2013	01	2013	01/01/2013	31/12/2013	12	2013	31/12/2013	12	2013	0	18225	0	0	0	0	9112.5	0	0	0	0	4556.25	0	4556.25	0	-9112.5	0	0
S34815562300013	Association de Gestion & Comptabilité des Côtes d'Armor (CER France)	PERSONNE MORALE DE DROIT PRIVE	Activités comptables	Avenue du Chalutier  Sans Pitié  - BP 530*-RC-*	22190	PLERIN	22187	0	0	53	BRETAGNE	22	0	0	0	0	0	0	0	0	0	38652	Plan de Lutte contre les Algues Vertes	Saint-Brieuc - 2013 - Diagnostics individuels	Programmé	N	O	01/01/2013	01	2013	01/01/2013	31/12/2013	12	2013	31/12/2013	12	2013	0	36450	0	0	0	0	0	0	0	0	0	34323.75	0	0	0	-34323.75	0	0
S34815562300013	Association de Gestion & Comptabilité des Côtes d'Armor (CER France)	PERSONNE MORALE DE DROIT PRIVE	Activités comptables	Avenue du Chalutier  Sans Pitié  - BP 530*-RC-*	22190	PLERIN	22187	0	0	53	BRETAGNE	22	0	0	0	0	0	0	0	0	0	36784	Plan de Lutte contre les Algues Vertes	saint brieuc - 2012 - Diagnostics individuels	Programmé	N	O	01/01/2012	01	2012	01/01/2012	31/12/2012	12	2012	31/12/2012	12	2012	16200	16200	0	0	0	0	8100	0	0	0	0	4050	0	8100	0	-12150	0	0
